Lat,Long,Heading,COG,SOG
76.545654,-68.904754,0.1,174.1,0
76.545654,-68.904752,0.2,81.7,0
76.545654,-68.904751,0.2,43.5,0
76.545655,-68.904749,0.2,282.9,0
76.545655,-68.904748,0.2,86.3,0
76.545656,-68.904747,0.2,283.2,0
76.545656,-68.904745,0.2,86.2,0
76.545656,-68.904744,0.3,329.8,0
76.545656,-68.904743,0.3,79.4,0
76.545657,-68.904743,0.4,21.9,0
76.545657,-68.90474,0.4,79.7,0
76.545656,-68.90474,0.5,272.7,0
76.545656,-68.904738,0.6,81.8,0
76.545656,-68.904738,0.6,87.5,0
76.545656,-68.904736,0.6,95.2,0
76.545656,-68.904735,0.7,87.4,0
76.545655,-68.904734,0.8,135.3,0
76.545655,-68.904733,0.8,87.6,0
76.545655,-68.904733,0.9,300.8,0
76.545655,-68.904733,0.9,77.8,0
76.545655,-68.904732,1,155.8,0
76.545655,-68.904731,1,144.9,0
76.545655,-68.90473,1.1,152.2,0
76.545655,-68.904729,1.1,107.8,0
76.545655,-68.904728,1.1,129.2,0
76.545656,-68.904727,1.1,82.6,0
76.545656,-68.904726,1.1,119.1,0
76.545656,-68.904724,1.1,115.1,0
76.545656,-68.904723,1.1,184.2,0
76.545656,-68.904722,1.1,43.2,0
76.545656,-68.904721,1.1,59.2,0
76.545657,-68.90472,1.1,84.6,0
76.545657,-68.904719,1.1,56.1,0
76.545657,-68.904718,1.1,10.7,0
76.545657,-68.904717,1.1,124.3,0
76.545658,-68.904717,1.1,351.9,0
76.545658,-68.904716,1.1,69.4,0
76.545658,-68.904715,1.1,68.2,0
76.545658,-68.904715,1.1,233.6,0
76.545658,-68.904714,1.1,102.8,0
76.545658,-68.904714,1.1,92.1,0
76.545658,-68.904713,1.1,128.3,0
76.545657,-68.904712,1.1,143.3,0
76.545657,-68.904711,1.1,67.6,0
76.545658,-68.90471,1,39.7,0
76.545658,-68.904709,1,92.2,0
76.545658,-68.904708,0.9,30.8,0
76.545658,-68.904707,0.9,45.7,0
76.545658,-68.904707,0.9,60,0
76.545659,-68.904706,0.9,115.8,0
76.545659,-68.904705,0.9,53.6,0
76.545659,-68.904705,0.9,47.5,0
76.54566,-68.904703,0.9,122.8,0
76.54566,-68.904703,0.9,23.8,0
76.54566,-68.904701,0.9,124,0
76.545661,-68.9047,0.9,132.9,0
76.545661,-68.904699,0.9,48.8,0
76.545661,-68.904697,0.9,33.6,0
76.545661,-68.904696,0.9,67.6,0
76.545662,-68.904695,0.9,39.8,0
76.545662,-68.904694,0.9,28.8,0
76.545662,-68.904693,0.9,158.2,0
76.545663,-68.904692,0.9,194.7,0
76.545663,-68.904692,0.9,32.7,0
76.545664,-68.904692,0.9,312.7,0
76.545664,-68.904691,0.9,314.8,0
76.545664,-68.904691,0.9,343.4,0
76.545664,-68.904689,0.9,72.4,0
76.545664,-68.904688,0.8,19,0
76.545664,-68.904687,0.8,282,0
76.545664,-68.904686,0.8,84.7,0
76.545664,-68.904685,0.8,157.6,0
